13.5,1.05,21.3,85,3.89E+04,0.86244676
25.7,3.8,21.3,85,7.41E+04,0.86124732
44.9,11.62,21.3,85,1.29E+05,0.8628275
12.7,0.91,21.3,85,3.66E+04,0.84458718
25.6,3.77,21.3,85,7.38E+04,0.86113641
44.1,11.23,21.3,85,1.27E+05,0.86439672
12.8,1.036,20.9,83.8,3.69E+04,0.9465648
26.2,3.93,20.9,83.8,7.55E+04,0.85703884
44.6,11.6,20.9,83.8,1.29E+05,0.87296897
12.1,0.868,20.6,83.5,3.49E+04,0.88748193
24.9,3.61,20.6,83.5,7.18E+04,0.87160365
44.1,10.85,20.6,83.5,1.27E+05,0.83514732
13.2,1.03,22.3,85.4,3.80E+04,0.88491162
26.5,4.01,22.3,85.4,7.64E+04,0.85479734
44.7,9.41,22.3,85.4,1.29E+05,0.7049935
12.9,0.955,20.2,84.6,3.72E+04,0.85908174
25.7,3.75,20.2,84.6,7.41E+04,0.84991512
44.4,11.48,20.2,84.6,1.28E+05,0.87173901
12.4,0.898,20,84.6,3.57E+04,0.87426582
25.8,3.85,20,84.6,7.44E+04,0.86582845
44.6,11.6,20,84.6,1.29E+05,0.87296897
12.5,0.909,19.8,86.4,3.60E+04,0.87087213
26.2,3.87,19.8,86.4,7.55E+04,0.84395427
45.2,11.14,19.8,86.4,1.30E+05,0.81624185
13.1,1.01,19.4,86.5,3.78E+04,0.8810272
25.6,3.95,19.4,86.5,7.38E+04,0.90225168
43.8,10.45,19.4,86.5,1.26E+05,0.81541483
38,7.07,19.3,84.8,1.10E+05,0.73293043
22.8,2.99,17.1,85.3,6.57E+04,0.8610176
42.9,10.3,17.1,85.3,1.24E+05,0.83778615
8.57,0.412,17.2,85.2,2.47E+04,0.83974245
22.9,3.04,17.2,85.2,6.60E+04,0.86778703
42.6,9.6,17.2,85.2,1.23E+05,0.79188583
9.07,0.519,19.5,84.2,2.61E+04,0.94441596
22.8,3.22,19.5,84.2,6.57E+04,0.92724972
42,9.996,19.5,84.2,1.21E+05,0.848278
9.51,0.53,19.7,84,2.74E+04,0.87725403
23.62,3.21,19.7,84,6.81E+04,0.86130264
41.68,9.39,19.7,84,1.20E+05,0.80913448
3.62,0.0907,19.1,85.3,1.04E+04,1.03609763
17.5,2.03,19.1,85.3,5.04E+04,0.9922714
39.9,10.3,19.1,85.3,1.15E+05,0.96850523