14.4,0.579,21.3,85,4.01E+04,0.7213315
25.75,2.08,21.3,85,7.17E+04,0.81038274
43.2,4.96,21.3,85,1.20E+05,0.68658688
13.6,0.56,21.3,85,3.79E+04,0.78215266
25.4,2,21.3,85,7.07E+04,0.80083654
43.4,5.05,21.3,85,1.21E+05,0.69261714
12.6,0.493,20.3,83.8,3.51E+04,0.80220829
25.1,1.95,20.3,83.8,6.99E+04,0.79959208
43.6,5.69,20.3,83.8,1.21E+05,0.7732512
13,0.568,20.6,83.5,3.62E+04,0.86824631
24.7,1.987,20.6,83.5,6.88E+04,0.84136662
44.4,5.22,20.6,83.5,1.24E+05,0.6840469
13.36,0.538,22.3,85.4,3.72E+04,0.77866504
25.6,2.24,22.3,85.4,7.13E+04,0.88297703
43.7,4.53,22.3,85.4,1.22E+05,0.61279702
12.7,0.576,19.7,84.6,3.54E+04,0.92256369
25.7,1.92,19.7,84.6,7.15E+04,0.75095912
43.4,5.239,19.7,84.6,1.21E+05,0.71853885
12.9,0.573,22,84.6,3.59E+04,0.88952164
24.8,2.06,22,84.6,6.90E+04,0.86525711
41.7,5.26,22,84.6,1.16E+05,0.78143876
12.1,0.45,19.8,86.4,3.37E+04,0.79400473
25.5,1.92,19.8,86.4,7.10E+04,0.76278507
44.8,5.67,19.8,86.4,1.25E+05,0.72980754
12.7,0.483,19.4,86.5,3.54E+04,0.77360809
25.1,1.95,19.4,86.5,6.99E+04,0.79959208
43.7,5.41,19.4,86.5,1.22E+05,0.73183927
12.9,0.546,18.9,84.9,3.59E+04,0.84760701
25.7,2,18.9,84.9,7.15E+04,0.78224909
43.9,5.5,18.9,84.9,1.22E+05,0.73725031
15.4,0.695,19.3,84.8,4.29E+04,0.7570502
29.1,2.42,19.3,84.8,8.10E+04,0.73826232
37.4,3.98,19.3,84.8,1.04E+05,0.73505728
8.18,0.212,16.9,85.3,2.28E+04,0.81848471
22.1,1.55,16.9,85.3,6.15E+04,0.8198388
42.1,5.09,16.9,85.3,1.17E+05,0.74188212
8.34,0.223,17.6,85.2,2.32E+04,0.82823595
22.5,1.59,17.6,85.2,6.26E+04,0.81135965
41.8,4.3,17.6,85.2,1.16E+05,0.63576587
8.73,0.2885,19.5,84.2,2.43E+04,0.97790946
22.94,1.7694,19.5,84.2,6.39E+04,0.86860137
41.87,4.83,19.5,84.2,1.17E+05,0.71174189
9.33,0.282,19.9,84,2.60E+04,0.83688761
23.3,1.675,19.9,84,6.49E+04,0.79704765
42.2,4.6,19.9,84,1.17E+05,0.66728943
12.3,0.292,21.3,84.5,3.42E+04,0.49860192
23.3,1.23,21.3,84.5,6.49E+04,0.58529469
42,3.9,21.3,84.5,1.17E+05,0.57114627
5.18,0.0943,19.1,85.3,1.44E+04,0.90789054
19,1.29,19.1,85.3,5.29E+04,0.92313204
40.2,5.43,19.1,85.3,1.12E+05,0.86801862